Ref,Val,Package,PosX,PosY,Rot,Side
"Q4","LBSS84LT1G","SOT-23",185.600000,-126.400000,90.000000,top
"Q5","LBSS84LT1G","SOT-23",182.200000,-108.600000,270.000000,top
"R1","10k","R_0402_1005Metric",130.900000,-104.300000,180.000000,top
"R2","10k","R_0402_1005Metric",185.600000,-97.900000,0.000000,top
"R3","1k","R_0402_1005Metric",123.600000,-93.700000,0.000000,top
"R4","1k","R_0402_1005Metric",123.600000,-94.800000,0.000000,top
"R5","1k","R_0402_1005Metric",123.600000,-101.900000,0.000000,top
"R6","1k","R_0402_1005Metric",123.600000,-103.000000,0.000000,top
"R7","10k","R_0402_1005Metric",121.000000,-93.400000,270.000000,top
"R8","10k","R_0402_1005Metric",121.000000,-95.400000,270.000000,top
"R9","10k","R_0402_1005Metric",121.000000,-101.400000,270.000000,top
"R10","10k","R_0402_1005Metric",122.000000,-103.400000,270.000000,top
"R11","10k","R_0402_1005Metric",122.000000,-91.400000,270.000000,top
"R12","10k","R_0402_1005Metric",121.000000,-99.400000,270.000000,top
"R13","1k","R_0402_1005Metric",123.600000,-91.900000,180.000000,top
"R14","1k","R_0402_1005Metric",123.600000,-99.900000,180.000000,top
"R15","10k","R_0402_1005Metric",149.400000,-92.000000,0.000000,top
"R16","1k","R_0402_1005Metric",176.000000,-92.000000,270.000000,top
"R17","10k","R_0402_1005Metric",158.600000,-92.000000,180.000000,top
"R18","1k","R_0402_1005Metric",151.000000,-92.600000,90.000000,top
"R19","1k","R_0402_1005Metric",157.000000,-92.600000,270.000000,top
"R20","10k","R_0402_1005Metric",171.800000,-91.000000,0.000000,top
"R21","1k","R_0402_1005Metric",164.800000,-92.000000,270.000000,top
"R22","10k","R_0402_1005Metric",138.200000,-92.000000,0.000000,top
"R23","10k","R_0402_1005Metric",147.400000,-92.000000,180.000000,top
"R24","10k","R_0402_1005Metric",160.600000,-91.000000,0.000000,top
"R25","1k","R_0402_1005Metric",139.800000,-92.600000,90.000000,top
